review,rating,category
"Yang bener low jualan tuh...dsini item tambahan ada 6 tapi cuma ada 4....gda softcase dn memori cart nya
Gimana tanggung jawab penjual low ky gni",1,handphone
"Pake Wi-Fi & 4G bisa konek, tapi untuk Play Store gagal terus. Secara otomatis, tablet ini tdk bisa digunakan sesuai dgn yg diharapkan. Sy sdh mengajukan pengembalian barang.",1,tablet
Baguss😇,1,laptop
tasny tidak sesuai yg di harapkan . sangat kecewa mohon penjelasan untuk pengembalian,1,laptop
"lcd nya cacad,gimana nih?",1,handphone
Jangan beli di sini penipuan toko ini,1,laptop
"Warna ga sesuai,lcd buram dan di sisi atas dan bawah kaya lcd dah rusak tak menampilkan gambar full .",1,handphone
"Power bank rusak, percuma free,  free judul nya aja, padahal bayar juga sklian sma bayar hp, tidak puas",1,handphone
Pesanan dtg tp hnya ada suara saat on off sleep..layar gelap..sangat mengecewakan..sy hrp lazada sbg perusahaan bsr bs handle permasalahan pengembalian ni..tlg Lazada lbh selectif dgn penjual yg gabung d'Lazada..chat jg telat respon dr seller-ny..jgn smpe pembeli sdh ngeluarin uang jd korban brg tdk b'kualitas krn tdk liat barang scra lgsg..beri keyakinan dlm membeli brg..trm ksh..,1,handphone
"malam gan.. hp nya sering mati sendiri ya . LCD nya jg sdh eror.. saya tekan tombol M malah nongol U.. jd ga karuan.. 
saya mau uang saya Balik gan.. hpnya gak terpakai jdnya... lumayan dgn harga hampir 500rb tp hp ga bs d pakai..",1,handphone
jgn beli hp ini jelek ga bagus hp sampah iini mah!!!!😑😡👊,1,handphone
Lama pngiriman,1,handphone
"kecewa pengirimannya lama banget hampir 1 minggu lebih,tp barang bagus",1,handphone
"SANGAT KECEWA,,beli mahal mahal tapi dikasih barang rijek,pada tergores mika nya,jualan yg becus gan jgn cuma mau ambil keuntungan tapi merugikan org,ga berkah tar
klo yoko profesional bales chat saya
udah gitu bilang saya merobek kaca film,yg bener aja deh mana mgkn sy merobek krn sy mengharap kan barang ini dtg dlm keadaan bagus
please LAZADA mohon jadi perhatian,sy kecewa beli mahal tapi barang rijek",1,tablet
yang satunya rusak gak ada suara saya minta diganti harusnya sebelum dikirim di cek dulu dong saya sebagai customer kecewa,1,laptop
pesan merah marun yg datang pink bukan merah cabe bukan.. bad 👎👎,1,tablet
Barang gak masuk kurang besar sedikit.kecewa,1,tablet
knp sampai sekarang pesanan saya blm sampai juga. ini sudah lewat tanggal estimasi pengiriman,1,tablet
"saran aja gak usah pakai kata superbass biar jujur, karena barangnya gda bassnya smaskali, cempreng bgt",1,handphone
"jelek suaranya, msh mono, gak ngebas",1,laptop
"warna nya jelek..pudar. 
saya pikir hard ternyata softcase..
beda dengan yang di gambar",1,tablet
"Miriiissss sekaliiiiii....    Masa iya dus nya pake dus polos gitu sih yng 1 nya.?? 
Itu semua pesenan cust.  Pesen doraemon  dikasih hellokitty,  mana gk ada konfirmasi dulu 😡😡😡😡",1,handphone
Ga ada padlocknya...,1,laptop
gak sesuai pesanan,1,tablet
"TOLONG diperhatikan  estimasi waktu yg diberikan dan KEMASAN pesanan pelanggan.
Agar kedepannya JASA PENGIRIMAN anda bisa LEBIH BAIK.",1,laptop
"kok pengetahuan nya barang udh sampai tapahal blom kita terima,gima sih lazada,baru x ini kecewa",1,laptop
sudah di batalin Masi aja di kirim,1,laptop
"barang sudah di terima, saya kecewa belanja disini pesan warna abu2, kenapa yg dateng warna coklat, model aslinya juga beda dengan yg di foto, lalu tidak dapat cover tas nya",1,laptop
Barang g pas dicemera,1,tablet
"kecewa saya pesen kucing abu ug dikirim item sangat kecewa,,tolongg dong di periksa sebelum di kirim tanggung jawab juga dongg lapakk aneh udh salah enggak tanggung jawab",1,tablet
susah yah kalau usaha cuma nipu orang..dasar toko gak amanah ..mau untung gede tapi harus nipu orang dulu..kalau jualan kalian kaya gini ampe kapan pun juga gak bakal berkah..😡,1,laptop
Sangat parah ada white spot di layar. garansi juga gak jelas resmi atau bukan yg pasti bukan TAM,1,handphone
"ga lagi deh belanja di mari, kapok sama pengirimannya, seminggu lebih sampai, hampir 2 minggu.. pengirimannya lama banget...",1,handphone
"ini kenapa ulasan saya di tolak sih?? takut ketahuan busuknya ya?? 
di gambar dan tulisan tipe N2E.
tp yg dateng N1D
toko gak mutu.. moga cpet bangkrut",1,handphone
"barang jelek,ga nyala sebelah",1,laptop
"kecewa hape nya sim satu ga bisa .. sim 2 doang bisa..
intinya hape minus ... 
semoga tokonya laku dan jaya....
dan jangan mengulanginya lagi.. 
hape minus jangan di jual ....!!!!",1,tablet
"kacau,,maklum hp china namanya jg blm nginstal aplikasi apa apa lemotnya parah,pindah dr menu tlfn ke pesan aja lama nyaaaaa luar biasa,,,mending beli hp seken wkwkwkwk ,kacau kacau kacau",1,handphone
"Barang tidak sesuai dengan pesanan pesannya Oppo f 11 yg datang Vivo y91c
Dangan kecewa tolong di perhatikan lagi",1,tablet
