review,rating,category
"terimakasih lazada, barang diterima dengan kondisi yang baik.. .. 
saran konsumen lebih dipercepat wsktu pengirimannya.. tanks",4,handphone
bagus tapi kemasanya,5,laptop
thanks,4,laptop
"hp baru dan yah 4GB di pakai sistem 2GB. mana terinstall aplikasi tidak berguna tidak bisa di hapus kecuali di root.
 pengiriman dan pengemasan top. tks.",2,handphone
Barang sesuai sama foto dan siip kualitas baik,4,tablet
"Alhamdulillah paket nya udah nyampeee,kurirnya ramah bgtt",5,tablet
"pengiriman lama ,,,",3,handphone
Kasih 3 bintang dlu soal.a blm d buka,3,laptop
"ga lagi deh belanja di mari, kapok sama pengirimannya, seminggu lebih sampai, hampir 2 minggu.. pengirimannya lama banget...",1,handphone
"Pesanan diterima sesuai estimasi waktu, tetapi sedikit kecewa, pesan warna abu-abu (grey) dikirim yang warna biru ( ocean blue ). 

Next, agar seller lebih teliti dlm membaca pesanan pembeli.",4,tablet
bagus banget kak lebih bagus dari fotonya warnanya soalnya agak gelap.terimakasih,5,laptop
Ga ada padlocknya...,1,laptop
bgs. cuman bahanna keras pisan. atas sama bwh th jdi ga k tutup. pas d pke th jdi ga msk bgt. ngangkong jdina th. teu klop msukna.,4,tablet
kamera nya jejek banget,3,handphone
"Sesuai Pesenan.
tpi sedikit kecewa karena RAM ny kecil. dan layar hanya 9.0 in.
GK sesuai sma deskripsi ny...",3,tablet
"jelek suaranya, msh mono, gak ngebas",1,laptop
"packing rapi,,harga sesuai dgn kualitas",4,laptop
ehmmmmmm,2,tablet
"Untung langsung laku,",4,handphone
Paket seauai pesasanan pengiriman ok thanks lazada,5,handphone
"Barang ok
Tapi bonus kartu axis quota ng dimasukkan",3,handphone
bagus,4,handphone
"barang udah nyampe, bagus.. tp sy pesen warna hitam yg dtang warna biru",3,laptop
tasnya yg utama gk sebagus digambar tolong diperbaiki nilai + nya tapi fast respon dalam pengiriman,3,laptop
"Barang sesuai dgn gambar
warna case tidak terkelupas, hanya memang jika tidak pandai merawat akan cpat kotor
tpi barang cukup berkualitas dgn harga segitu.
Terima kasih 🙏",4,tablet
Contoh barang dengan yg dikirim berbeda,2,laptop
tasnya bagus tpi msa ga ada talinya 😟,2,laptop
"barang sdh diterima dgn baik, earphone berfungsi tp charger tdk bisa dipakai krn kabelnya tdk bisa dimasukin ke lubangnya. bs dituker ga?",3,tablet
puas lah intinya..cuman agak lama pengiriman nya😁,5,tablet
"beli ditoko lain aja, estimasi plg lambat tgl 10, tp tgl segitu status masih dalam proses, chat seller jawabnya msh dikonveksi, jd toko ini jual gbr aja, stok TDK ready, pengiriman msh lelet",1,laptop
"tas y lumayan bagus,..",5,laptop
"Unitnya bagus, di wrapping nya aman bgt utk shipping nya, packaging juga rapih, windows lgsg di set up juga. Pertanyaan2 dijawab dgn baik.",4,laptop
barangnya bagus ibu aku suka btw maaf telat yang penting ibu aku suka best deh lazada,4,handphone
"barang nya ga bagus, gambar nya ga 3D trus karakternya ga terlau nempel, jadi gampang lepas!",2,tablet
"lcd nya cacad,gimana nih?",1,handphone
kiriman cepat sampai dan packing aman,5,handphone
"kecewa pengirimannya lama banget hampir 1 minggu lebih,tp barang bagus",1,handphone
"packaging aman, pengiriman cepat, barang cukup puas. tapi sayang untuk bonus tg nya tidak sesuai hpnya jadi kesannya kayak semaunya sendiri untuk bonus.. trims",3,handphone
alhamdulillah barang nya bagus anak saya suka n' kurirnya ramah makasih & sukses selalu🙏,4,tablet
"Barang jelek. Tidak sesuai spek dengan yg sesungguhnya. Sy ingin krmbalikan, mohon petunjuknya. Leletnya kayak kutu. Klo tau begini, biar 100 rb, sy tdk akan beli. Tidak bisa main game, loading melulu, nonton youtube, tersendat sendat. Menyesal aku belinya.",1,tablet
"barang sampai jam 10:30 kemarin, 😢 katanya batrainya tahan seharian. posisi sekitar jam 16:00 batrai 20% trus saya cas posisi ho mati. abis dicas jam 5 sore 100% jam 02:28 pagi dini hari batrai udah berkurang ni cuman 10 jam batrai dari posisi penuh kok tinggal 37%",2,handphone
"mantab bosku
recom seler
packing rapi
product original",5,handphone
batang gak sesuai keyboat macet batrerai gak bisa di carger,1,laptop
"barang sudah di terima, saya kecewa belanja disini pesan warna abu2, kenapa yg dateng warna coklat, model aslinya juga beda dengan yg di foto, lalu tidak dapat cover tas nya",1,laptop
"kaca anti gores nya ....banyak gores goresan,tisue pmbersig nya juga gada .. kecewa saya!!!!",1,tablet
sip mantap barangnya bagus pengiriman cepat,5,laptop
"barang sudah diterima, bagus bisa langsung dipakai, thx seller 👍👍👍",4,laptop
